FontFamilyName, FontSize, Width, dpiX, dpiY
Bahnschrift SemiBold, 18, 13, 96, 96
Bahnschrift SemiBold, 19, 14, 96, 96
Bahnschrift SemiBold, 20, 15, 96, 96
Bahnschrift SemiBold, 21, 15, 96, 96
Bahnschrift SemiBold, 22, 16, 96, 96
Bahnschrift SemiBold, 23, 17, 96, 96
Bahnschrift SemiBold, 24, 18, 96, 96
Bahnschrift SemiBold, 25, 18, 96, 96
Bahnschrift SemiBold Condensed, 2, 1, 96, 96
Bahnschrift SemiBold Condensed, 3, 2, 96, 96
Bahnschrift SemiBold Condensed, 4, 2, 96, 96
Bahnschrift SemiBold Condensed, 5, 3, 96, 96
Bahnschrift SemiBold Condensed, 6, 3, 96, 96
Bahnschrift SemiBold Condensed, 7, 4, 96, 96
Bahnschrift SemiBold Condensed, 8, 4, 96, 96
Bahnschrift SemiBold Condensed, 9, 5, 96, 96
Bahnschrift SemiBold Condensed, 10, 6, 96, 96
Bahnschrift SemiBold Condensed, 11, 6, 96, 96
Bahnschrift SemiBold Condensed, 12, 7, 96, 96
Bahnschrift SemiBold Condensed, 13, 7, 96, 96
Bahnschrift SemiBold Condensed, 14, 8, 96, 96
Bahnschrift SemiBold Condensed, 15, 8, 96, 96
Bahnschrift SemiBold Condensed, 16, 9, 96, 96
Bahnschrift SemiBold Condensed, 17, 9, 96, 96
Bahnschrift SemiBold Condensed, 18, 10, 96, 96
Bahnschrift SemiBold Condensed, 19, 11, 96, 96
Bahnschrift SemiBold Condensed, 20, 11, 96, 96
Bahnschrift SemiBold Condensed, 21, 12, 96, 96
Bahnschrift SemiBold Condensed, 22, 12, 96, 96
Bahnschrift SemiBold Condensed, 23, 13, 96, 96
Bahnschrift SemiBold Condensed, 24, 13, 96, 96
Bahnschrift SemiBold Condensed, 25, 14, 96, 96
Bahnschrift SemiBold SemiConden, 2, 1, 96, 96
Bahnschrift SemiBold SemiConden, 3, 2, 96, 96
Bahnschrift SemiBold SemiConden, 4, 3, 96, 96
Bahnschrift SemiBold SemiConden, 5, 3, 96, 96
Bahnschrift SemiBold SemiConden, 6, 4, 96, 96
Bahnschrift SemiBold SemiConden, 7, 5, 96, 96
Bahnschrift SemiBold SemiConden, 8, 5, 96, 96
Bahnschrift SemiBold SemiConden, 9, 6, 96, 96
Bahnschrift SemiBold SemiConden, 10, 6, 96, 96
Bahnschrift SemiBold SemiConden, 11, 7, 96, 96
Bahnschrift SemiBold SemiConden, 12, 8, 96, 96
Bahnschrift SemiBold SemiConden, 13, 8, 96, 96
Bahnschrift SemiBold SemiConden, 14, 9, 96, 96
Bahnschrift SemiBold SemiConden, 15, 10, 96, 96
Bahnschrift SemiBold SemiConden, 16, 10, 96, 96
Bahnschrift SemiBold SemiConden, 17, 11, 96, 96
Bahnschrift SemiBold SemiConden, 18, 12, 96, 96
Bahnschrift SemiBold SemiConden, 19, 12, 96, 96
Bahnschrift SemiBold SemiConden, 20, 13, 96, 96
Bahnschrift SemiBold SemiConden, 21, 14, 96, 96
Bahnschrift SemiBold SemiConden, 22, 14, 96, 96
Bahnschrift SemiBold SemiConden, 23, 15, 96, 96
Bahnschrift SemiBold SemiConden, 24, 15, 96, 96
Bahnschrift SemiBold SemiConden, 25, 16, 96, 96
Bahnschrift SemiCondensed, 2, 1, 96, 96
Bahnschrift SemiCondensed, 3, 2, 96, 96
Bahnschrift SemiCondensed, 4, 3, 96, 96
Bahnschrift SemiCondensed, 5, 3, 96, 96
Bahnschrift SemiCondensed, 6, 4, 96, 96
Bahnschrift SemiCondensed, 7, 5, 96, 96
Bahnschrift SemiCondensed, 8, 5, 96, 96
Bahnschrift SemiCondensed, 9, 6, 96, 96
Bahnschrift SemiCondensed, 10, 6, 96, 96
Bahnschrift SemiCondensed, 11, 7, 96, 96
Bahnschrift SemiCondensed, 12, 8, 96, 96
Bahnschrift SemiCondensed, 13, 8, 96, 96
Bahnschrift SemiCondensed, 14, 9, 96, 96
Bahnschrift SemiCondensed, 15, 10, 96, 96
Bahnschrift SemiCondensed, 16, 10, 96, 96
Bahnschrift SemiCondensed, 17, 11, 96, 96
Bahnschrift SemiCondensed, 18, 12, 96, 96
Bahnschrift SemiCondensed, 19, 12, 96, 96
Bahnschrift SemiCondensed, 20, 13, 96, 96
Bahnschrift SemiCondensed, 21, 14, 96, 96
Bahnschrift SemiCondensed, 22, 14, 96, 96
Bahnschrift SemiCondensed, 23, 15, 96, 96
Bahnschrift SemiCondensed, 24, 15, 96, 96
Bahnschrift SemiCondensed, 25, 16, 96, 96
Bahnschrift SemiLight, 2, 1, 96, 96
Bahnschrift SemiLight, 3, 2, 96, 96
Bahnschrift SemiLight, 4, 3, 96, 96
Bahnschrift SemiLight, 5, 4, 96, 96
Bahnschrift SemiLight, 6, 4, 96, 96
Bahnschrift SemiLight, 7, 5, 96, 96
Bahnschrift SemiLight, 8, 6, 96, 96
Bahnschrift SemiLight, 9, 7, 96, 96
Bahnschrift SemiLight, 10, 7, 96, 96
Bahnschrift SemiLight, 11, 8, 96, 96
Bahnschrift SemiLight, 12, 9, 96, 96
Bahnschrift SemiLight, 13, 10, 96, 96
Bahnschrift SemiLight, 14, 10, 96, 96
Bahnschrift SemiLight, 15, 11, 96, 96
Bahnschrift SemiLight, 16, 12, 96, 96
Bahnschrift SemiLight, 17, 13, 96, 96
Bahnschrift SemiLight, 18, 13, 96, 96
Bahnschrift SemiLight, 19, 14, 96, 96
Bahnschrift SemiLight, 20, 15, 96, 96
Bahnschrift SemiLight, 21, 15, 96, 96
Bahnschrift SemiLight, 22, 16, 96, 96
Bahnschrift SemiLight, 23, 17, 96, 96
Bahnschrift SemiLight, 24, 18, 96, 96
Bahnschrift SemiLight, 25, 18, 96, 96
Bahnschrift SemiLight Condensed, 2, 1, 96, 96
Bahnschrift SemiLight Condensed, 3, 2, 96, 96
Bahnschrift SemiLight Condensed, 4, 2, 96, 96
Bahnschrift SemiLight Condensed, 5, 3, 96, 96
Bahnschrift SemiLight Condensed, 6, 3, 96, 96
Bahnschrift SemiLight Condensed, 7, 4, 96, 96
Bahnschrift SemiLight Condensed, 8, 4, 96, 96
Bahnschrift SemiLight Condensed, 9, 5, 96, 96
Bahnschrift SemiLight Condensed, 10, 6, 96, 96
Bahnschrift SemiLight Condensed, 11, 6, 96, 96
Bahnschrift SemiLight Condensed, 12, 7, 96, 96
Bahnschrift SemiLight Condensed, 13, 7, 96, 96
Bahnschrift SemiLight Condensed, 14, 8, 96, 96
Bahnschrift SemiLight Condensed, 15, 8, 96, 96
Bahnschrift SemiLight Condensed, 16, 9, 96, 96
Bahnschrift SemiLight Condensed, 17, 9, 96, 96
Bahnschrift SemiLight Condensed, 18, 10, 96, 96
Bahnschrift SemiLight Condensed, 19, 11, 96, 96
Bahnschrift SemiLight Condensed, 20, 11, 96, 96
Bahnschrift SemiLight Condensed, 21, 12, 96, 96
Bahnschrift SemiLight Condensed, 22, 12, 96, 96
Bahnschrift SemiLight Condensed, 23, 13, 96, 96
Bahnschrift SemiLight Condensed, 24, 13, 96, 96
